proto,spkts,dpkts,sbytes,dbytes,label
TCP,111,66,28974,86296,0
TCP,140,145,13940,53555,0
TCP,145,139,53555,13770,0
TCP,18,18,1686,1308,0
TCP,18,17,1308,1588,0
TCP,16,17,3751,1929,0
TCP,17,15,1929,3658,0
TCP,17,22,1466,1740,0
TCP,22,16,1740,1324,0
UDP,185,79,186693,54796,0
UDP,79,175,54796,175293,0
TCP,12,12,1068,1116,0
TCP,12,11,1116,944,0
UDP,278,276,23044,46926,0
UDP,276,274,46926,22726,0
UDP,25,20,7759,7814,0
TCP,30,39,7861,4521,0
TCP,39,29,4521,7787,0
UDP,20,20,7814,3556,0
TCP,1690,2505,736876,4249685,0
TCP,2505,1684,4249685,736432,0
TCP,41,53,28205,9627,0
OTHER,18,0,1092,0,0
UDP,1,0,364,0,0
UDP,1,0,342,0,0
TCP,53,39,9627,28057,0
TCP,25,28,5947,14348,0
TCP,36,38,6678,31491,0
UDP,8,0,600,0,0
TCP,38,34,31491,6530,0
TCP,28,23,14348,5799,0
UDP,13,17,5269,13527,0
UDP,17,11,13527,2681,0
UDP,332,666,53371,1341023,0
UDP,666,330,1341023,50783,0
UDP,104,87,34050,62676,0
UDP,87,102,62676,31462,0
TCP,15,15,4662,3294,0
TCP,15,14,3294,4588,0
UDP,51,49,15614,18452,0
UDP,49,49,18452,13026,0
TCP,15,16,3007,7109,0
TCP,16,14,7109,2933,0
UDP,11,23,6275,31113,0
TCP,13,15,2886,6770,0
UDP,23,8,31113,2393,0
TCP,15,12,6770,2812,0
UDP,34,37,9256,28571,0
UDP,9,10,4928,9392,0
TCP,14,16,2942,6863,0
UDP,10,7,9392,2340,0
TCP,14,15,2941,6802,0
UDP,37,32,28571,6668,0
TCP,16,13,6863,2868,0
TCP,15,13,6802,2867,0
TCP,32,34,6455,24757,0
TCP,34,30,24757,6307,0
TCP,20,21,3605,11655,0
TCP,21,19,11655,3531,0
UDP,67,96,15371,115917,0
UDP,96,65,115917,12783,0
TCP,31,38,8978,21637,0
TCP,38,29,21637,8830,0
UDP,12,0,984,0,0
UDP,12,0,1320,0,0
UDP,15,16,9055,12915,0
UDP,16,13,12915,6467,0
TCP,25,28,6007,13944,0
TCP,66,109,86296,28255,0
TCP,28,23,13944,5859,0
UDP,10,8,5794,9802,0
UDP,8,8,9802,3206,0
TCP,29,35,8972,20066,0
TCP,35,27,20066,8824,0
UDP,23,20,11697,14031,0
UDP,20,21,14031,9109,0
TCP,31,33,6458,24032,0
TCP,30,36,6367,22710,0
TCP,33,29,24032,6310,0
TCP,36,28,22710,6219,0
UDP,7,7,4335,8423,0
UDP,8,8,5624,10804,0
UDP,7,5,8423,1747,0
UDP,8,6,10804,3036,0
TCP,27,31,6144,19749,0
TCP,265,317,24962,745438,0
TCP,317,263,745438,24814,0
TCP,31,25,19749,5996,0
UDP,209,328,25146,796239,0
UDP,328,207,796239,22558,0
UDP,44,78,11818,115337,0
UDP,78,41,115337,7936,0
TCP,51,79,10205,121100,0
TCP,79,49,121100,10057,0
UDP,217,412,33153,1056937,0
UDP,412,215,1056937,30565,0
UDP,2,0,320,0,0
TCP,237,300,27509,693937,0
TCP,300,235,693937,27361,0
UDP,3710,5765,453829,16901544,0
UDP,5765,3708,16901544,451241,0
TCP,37,52,13199,60827,0
TCP,52,35,60827,13051,0
UDP,8,7,4406,7141,0
UDP,7,6,7141,1818,0
TCP,231,278,19666,721928,0
TCP,278,229,721928,19518,0
UDP,6,6,4252,7095,0
UDP,6,4,7095,1664,0
TCP,202,236,18542,491766,0
TCP,236,200,491766,18394,0
UDP,34,49,9458,86407,0
UDP,49,32,86407,6870,0
TCP,39,90,105565,7956,0
TCP,90,38,7956,105372,0
TCP,42,61,12674,81740,0
TCP,61,40,81740,12526,0
UDP,175,277,23006,615799,0
UDP,277,173,615799,20418,0
TCP,63,89,14564,146708,0
TCP,89,61,146708,14416,0
UDP,6,5,4250,7074,0
UDP,5,4,7074,1662,0
TCP,151,200,19346,497573,0
TCP,200,149,497573,19198,0
UDP,6,7,4248,7135,0
UDP,7,4,7135,1660,0
TCP,180,222,22750,470024,0
TCP,222,178,470024,22602,0
UDP,6,7,4247,7142,0
UDP,7,4,7142,1659,0
TCP,31,37,6314,29853,0
TCP,307,406,24340,1586874,0
TCP,37,29,29853,6166,0
TCP,406,305,1586874,24192,0
UDP,22,37,6550,58663,0
UDP,190,390,28678,1053703,0
UDP,390,188,1053703,26090,0
UDP,37,20,58663,3962,0
UDP,21,30,8849,33439,0
UDP,9,11,5214,9578,0
TCP,32,34,7136,14698,0
TCP,22,24,5479,13658,0
TCP,12,13,2797,6861,0
UDP,30,19,33439,6261,0
UDP,11,7,9578,2626,0
TCP,34,30,14698,6988,0
TCP,13,11,6861,2723,0
TCP,24,20,13658,5331,0
UDP,18,15,7622,9540,0
UDP,15,16,9540,5034,0
TCP,6,6,426,393,0
TCP,6,5,393,333,0
OTHER,79,79,7742,7742,0
OTHER,79,78,7742,7644,0
TCP,9,11,1275,5660,0
TCP,11,8,5660,1201,0
TCP,9,10,956,3999,0
TCP,10,8,3999,882,0
TCP,6,5,431,479,0
TCP,5,5,479,357,0
